date,slot,event,reason,holding_bars,pnl_since_entry,entry_z,exit_z,capital_frac
2022-06-29 18:45:00+00:00,1,entry,signal_entry,0,0.0,1.9516782283538963,,0.3572
2022-07-07 15:15:00+00:00,0,exit,z_decay,122,0.008682319375897888,1.8450401484859258,0.2550516323973958,
2022-07-07 15:15:00+00:00,1,exit,z_decay,121,0.006863157528025567,1.9516782283538963,0.25927007165543026,
2022-07-14 18:45:00+00:00,0,entry,signal_entry,0,0.0,-1.866976519865211,,0.5491
2022-07-15 18:45:00+00:00,1,entry,signal_entry,0,0.0,4.893981420389772,,0.426
2022-08-05 17:30:00+00:00,0,exit,z_decay,427,0.0670830391257103,-1.866976519865211,0.2876651692196393,
2022-08-05 18:15:00+00:00,1,exit,z_decay,403,-0.0013941320263370722,4.893981420389772,0.2729713554210538,
2022-09-08 18:45:00+00:00,0,entry,signal_entry,0,0.0,3.093621330728854,,0.9099
2022-09-09 18:45:00+00:00,1,entry,signal_entry,0,0.0,2.0619435717416033,,0.0857
2022-09-13 13:30:00+00:00,0,exit,z_decay,60,0.015341881140021604,3.093621330728854,-0.0065907007945183544,
2022-09-13 13:30:00+00:00,1,exit,z_decay,33,0.0017188851652818122,2.0619435717416033,-0.05418224506374161,
2022-09-14 18:45:00+00:00,0,entry,signal_entry,0,0.0,-1.718278646995739,,0.5054
2022-09-16 17:30:00+00:00,1,entry,signal_entry,0,0.0,1.7252322881912927,,0.4933
2022-09-19 14:00:00+00:00,0,exit,z_decay,62,0.009145186515790889,-1.718278646995739,-0.2732026613578283,
2022-09-19 15:30:00+00:00,0,entry,signal_entry,0,0.0,1.8082522884288006,,0.5095
2022-09-21 13:30:00+00:00,0,exit,z_decay,46,0.008658821335524168,1.8082522884288006,-0.04205644345747937,
2022-09-21 17:30:00+00:00,1,exit,z_decay,81,0.0021070797952067667,1.7252322881912927,0.26670651299123305,
2022-09-22 16:30:00+00:00,0,entry,signal_entry,0,0.0,-2.4892321263584942,,0.7321
2022-09-23 18:30:00+00:00,1,entry,signal_entry,0,0.0,2.1988752294366436,,0.2689
2022-09-27 18:00:00+00:00,1,exit,z_decay,52,0.006542037478176281,2.1988752294366436,0.2557722417069964,
2022-10-04 13:30:00+00:00,0,exit,z_decay,204,0.0025100281502457135,-2.4892321263584942,-0.29063969533788403,
2022-10-04 19:45:00+00:00,0,entry,signal_entry,0,0.0,1.7575897503772528,,0.5169
2022-10-05 17:15:00+00:00,1,entry,signal_entry,0,0.0,-1.8092671824836624,,0.4809
2022-10-05 18:30:00+00:00,0,halt_rehedge,asset_halted,22,0.0014880734065443944,1.7575897503772528,,
2022-10-05 18:30:00+00:00,1,halt_rehedge,asset_halted,5,0.0006424990454492221,-1.8092671824836624,,
2022-10-06 19:45:00+00:00,1,exit,z_decay,37,-0.0029141501227621103,-1.8092671824836624,-0.2983512826335741,
2022-10-07 13:45:00+00:00,0,exit,z_decay,57,0.015450779620135219,1.7575897503772528,0.18229976292423594,
2022-10-10 18:45:00+00:00,0,entry,signal_entry,0,0.0,-2.763347696316552,,0.8127
